english,spanish,english_length,spanish_length
it goes both ways .,funciona en ambos sentidos .,5,5
do you think we ll have good weather ?,¿ crees que nos hará buen tiempo ?,9,8
he had an intense hatred of his teacher .,él tuvo un intenso odio hacia su profesor .,9,9
she won t make it .,ella no lo conseguirá .,6,5
we have ants in the kitchen .,tenemos hormigas en la cocina .,7,6
tom likes to drink .,a tom le gusta beber .,5,6
god bless you !,¡ que dios te bendiga !,4,6
why don t you ask tom ?,¿ por qué no le preguntas a tom ?,7,9
i ve done worse .,me ha ido peor .,5,5
just take it slow .,hazlo poco a poco .,5,5
i haven t finished breakfast yet .,aún no he acabado de desayunar .,7,7
i thought you wouldn t trust me .,pensé que no confiarías en mí .,8,7
friends understand each other .,los amigos se comprenden .,5,5
it wasn t very fun .,no fue muy divertido .,6,5
i wonder if tom will come to school today .,me pregunto sí tom vendrá hoy a la escuela .,10,10
something tells me they aren t going to last long .,algo me dice que ellos no van a durar mucho .,11,11
did you hire a cleaning lady ?,¿ contrataste una limpiadora ?,7,5
tom needs a doctor .,tom necesita un médico .,5,5
i d suggest the following change .,sugeriría el cambio siguiente .,7,5
"he s english , but lives in india .","él es inglés , pero vive en la india .",9,10
they painted the window frames yellow .,ellos pintaron de amarillo los marcos de las ventanas .,7,10
we suspect poisoning .,sospechamos de envenenamiento .,4,4
i d like to welcome you all aboard .,me gustaría darles la bienvenida a bordo .,9,8
what s happening to tom ?,¿ qué le está pasando a tom ?,6,8
that must ve taken place while i was away .,eso tiene que haber pasado mientras yo estaba fuera .,10,10
give me my glasses .,entrégame mis lentes .,5,4
my friends don t know where i am .,mis amigos no saben dónde estoy .,9,7
it s very good .,está muy bien .,5,4
tom shut the kitchen door .,tom cerró la puerta de la cocina .,6,8
tom is talking to mary on the phone .,tom habla por teléfono con mary .,9,7
i have some questions for tom .,tengo algunas preguntas para tom .,7,6
let s kiss .,besémonos .,4,2
does it have to be today ?,¿ tiene que ser hoy ?,7,6
she can count from one to ten .,ella puede contar del uno al diez .,8,8
"when dad came home , i was watching tv .","cuando papá regresó , yo estaba mirando televisión .",10,9
what age was she when she first drove a car ?,¿ cuántos años tenía la primera vez que condujo un coche ?,11,12
he noticed a letter on the desk .,él notó una carta sobre el escritorio .,8,8
we must not break our promise .,no debemos romper nuestra promesa .,7,6
haven t we had enough of that nonsense already ?,¿ no hemos tenido ya suficientes tonterías ?,10,8
i asked tom to sing my favorite song .,le pedí a tom que cantara mi canción favorita .,9,10
we can help you .,los podemos ayudar .,5,4
he made it .,lo hizo él .,4,4
you must not abandon hope .,no debes perder las esperanzas .,6,6
"unfortunately , the report is true .","desafortunadamente , el reporte es verdadero .",7,7
do you know why that happens ?,¿ sabés por qué pasa ?,7,6
i ll keep this cake for myself .,guardaré esta torta para mí .,8,6
tom is big and strong .,tom es grande y fuerte .,6,6
don t believe everything you hear .,no creas todo lo que oyes .,7,7
you said you d be here by 2 30 .,dijiste que estarías aquí para las 2 30 .,10,9
i will come earlier next time .,la próxima vez vendré más temprano .,7,7
you should pay attention .,deberías prestar atención .,5,4
we ll have little snow this winter .,tendremos poca nieve este invierno .,8,6
it is no use arguing with him about it .,es inútil discutir con él sobre eso .,10,8
tom stopped reading .,tom dejó de leer .,4,5
that s cyanide .,eso es cianuro .,4,4
pretend you don t know anything .,haz como que no sabes nada .,7,7
the student left without saying anything .,el estudiante se fue sin haber dicho nada .,7,9
"my hands were getting cold , so i put my gloves on .","las manos se me estaban quedando frías , así que me puse los guantes .",13,15
why would tom want you dead ?,¿ por qué tom te quiere muerto ?,7,8
tom couldn t remember the name of the place where he met mary .,tom no podía recordar el nombre del lugar en donde conoció a mary .,14,14
do we know you ?,¿ os conocemos ?,5,4
everyone needs friends .,todos necesitan amigos .,4,4
keep trying .,sigue intentándolo .,3,3
she was alone on valentine s day .,estaba sola el día de san valentín .,8,8
this bicycle is mine .,esta bicicleta me pertenece .,5,5
tom ordered a non alcoholic drink .,tom pidió una bebida sin alcohol .,7,7
we lost three times in a row .,nosotras perdimos tres veces seguidas .,8,6
tom had no right to treat mary that way .,tom no tenía derecho de tratar a mary así como lo hizo .,10,13
tom is the only boy who doesn t like football .,tomás es el único niño que no le gusta el fútbol .,11,12
he had the cheek to ask me to help him .,tuvo la cara de pedirme que lo ayudara .,11,9
what is your greatest source of inspiration ?,¿ cuál es tu mayor fuente de inspiración ?,8,9
tom said he didn t know what he was supposed to do .,tom dijo que él no sabía lo que tenía que hacer .,13,12
he was very tired .,él estaba muy cansado .,5,5
people love to check out each other s houses .,a la gente le encanta ver las casas de unos con otros .,10,13
i disagree with that .,no estoy de acuerdo con eso .,5,7
you broke the rules .,rompiste las reglas .,5,4
tom is the one who told me how to do it .,tom es el que me dijo como hacerlo .,12,9
she s younger than me .,ella es más joven que yo .,6,7
i hate that noise .,odio ese ruido .,5,4
i finished the book last month .,me acabé el libro el mes pasado .,7,8
i listen to everything .,escucho de todo .,5,4
it is nice to be among family .,es agradable estar en familia .,8,6
why didn t you respond ?,¿ por qué no respondías ?,6,6
she went to the museum by cab .,ella fue al museo en taxi .,8,7
tom isn t studying geology . he s studying geography .,"tom no está estudiando geología , está estudiando geografía .",11,10
tom left boston .,tomás se fue de boston .,4,6
it took me a long time to get used to the noise .,necesité mucho tiempo para acostumbrarme al ruido .,13,8
i can t believe that you called tom an idiot .,no puedo creer que hayas llamado idiota a tom .,11,10
i didn t marry him because he is rich .,no me casé con él por ser rico .,10,9
does it hurt a lot ?,¿ duele mucho ?,6,4
do you know how to ride a bicycle ?,¿ sabes montar en bicicleta ?,9,6
mary is a very beautiful girl .,mary es una niña muy linda .,7,7
are you falling in love with me ?,¿ te estás enamorando de mí ?,8,7
do whatever it takes .,haz lo que sea necesario .,5,6
welcome back .,bienvenido de nuevo .,3,4
tom didn t feel like eating lunch .,tom no tenía ganas de comerse el almuerzo .,8,9
she ll come at quarter past three .,ella vendrá a las tres y cuarto .,8,8
"you re going to bed early , right ?","te vas a acostar pronto , ¿ verdad ?",9,9
whose is this food ?,¿ de quién es esta comida ?,5,7
the restaurant is always packed .,el restaurante siempre está lleno .,6,6
who is that man ?,¿ quién es aquel hombre ?,5,6
love is transient .,el amor es pasajero .,4,5
can i have some ?,¿ me dan un poco ?,5,6
show me another watch .,enséñame otro reloj .,5,4
i asked tom to meet me at the train station .,le pedí a tom que se encontrara conmigo en la estación de tren .,11,14
tom is my accountant .,tom es mi contador .,5,5
young parents often indulge their children .,los padres jóvenes suelen mimar a los niños .,7,9
tom used to live in boston .,tom solía vivir en boston .,7,6
they have no claim to the property .,ellos no tienen derechos sobre la propiedad .,8,8
the pain was more than he could stand .,el dolor era más intenso de lo que podía soportar .,9,11
tom is pouring a glass of milk .,tom está sirviendo un vaso de leche .,8,8
look after the children this afternoon .,cuida a los niños esta tarde .,7,7
tom told me that he s getting married .,tom me dijo que se va a casar .,9,9
the price of everything increased .,el precio de todo aumentó .,6,6
we have a minute and a half left .,nos queda un minuto y medio .,9,7
breathe in deeply .,inspira profundamente .,4,3
learn french .,aprende francés .,3,3
japan is an island country .,japón es un país insular .,6,6
how did you know it was me ?,¿ cómo supiste que fui yo ?,8,7
there is no rule without exceptions .,la excepción confirma la regla .,7,6
tom didn t try very hard to find out what was wrong .,tom no hizo un gran esfuerzo para descubrir qué estaba mal .,13,12
i don t know how to interpret his words .,no sé cómo interpretar sus palabras .,10,7
this is on you .,esto es culpa tuya .,5,5
turn it over .,voltéala .,4,2
what s this scar from ? i don t want to talk about it .,¿ cómo te hiciste esta cicatriz ? no quiero hablar de ello .,15,13
tom cut classes again .,tom faltó a clases otra vez .,5,7
he is inaccessible to his employees .,él es inaccesible para sus empleados .,7,7
spain approved the treaty .,españa aprobó el tratado .,5,5
she owns two thousand books .,ella tiene dos mil libros .,6,6
tom was mary s first love .,tom fue el primer amor de mary .,7,8
the monkey got away .,se escapó el mono .,5,5
it s not an easy solution .,no es una solución fácil .,7,6
please call him up .,"llámalo , por favor .",5,5
the train leaves in 5 minutes .,el tren parte en cinco minutos .,7,7
i was talking about something else .,yo estaba hablando de otra cosa .,7,7
i ve learned to trust them .,he aprendido a confiar en ellos .,7,7
the place just doesn t look as good as it used to .,el lugar tan sólo no se ve tan bien como solía .,13,12
this is our main objective .,éste es nuestro principal objetivo .,6,6
"all of a sudden , it began raining .",de repente se puso a llover .,9,7
tom says he is rich .,tom dice que él es rico .,6,7
you are under arrest .,usted está bajo arresto .,5,5
her name was spelled wrong .,su nombre fue deletreado mal .,6,6
these flowers are for you .,estas flores son para ti .,6,6
who are you laughing at ?,¿ de quién te ríes ?,6,6
i know where you keep your gun .,conozco dónde mantienes tu pistola .,8,6
the cushions on the sofa don t match those on the armchairs .,los cojines en el sofá no coinciden con los de los sillones .,13,13
i don t use facebook .,no uso facebook .,6,4
i was lucky that i was able to find a good babysitter .,he tenido suerte de encontrar una buena niñera .,13,9
a cat came out from under the desk .,un gato salió de abajo del escritorio .,9,8
one of her three cars is blue and the others are red .,"uno de sus tres autos es azul , y los otros rojos .",13,13
it hardly ever rains in the area .,casi nunca llueve en esta región .,8,7
tom heard mary talking to herself .,tom oyó a mary hablando consigo misma .,7,8
i don t understand a word .,no me entero de nada .,7,6
it s awfully cold this evening .,esta tarde hace un frío que pela .,7,8
i need to sleep now .,ahora necesito dormir .,6,4
the united nations building was built in 1952 .,el edificio de las naciones unidas fue construido en 1952 .,9,11
this is important stuff .,esto son cosas importantes .,5,5
this is a masterpiece .,es una obra maestra .,5,5
do we have enough flour ?,¿ tenemos suficiente harina ?,6,5
i ll be back tomorrow night .,estaré de vuelta mañana por la noche .,7,8
i just met a boy named tom .,acabo de conocer a un chico llamado tom .,8,9
tom taught me how to cook .,tom me enseñó a cocinar .,7,6
i have enough money to buy this book .,tengo suficiente dinero para comprar este libro .,9,8
what museums would you like to visit ?,¿ qué museos desearías visitar ?,8,6
where is the fire extinguisher ?,¿ dónde está el extintor ?,6,6
all were satisfied .,todos estuvieron satisfechos .,4,4
happy easter !,feliz pascua .,3,3
tom is allergic to peanuts .,tom es alérgico al maní .,6,6
he was absent on the particular day .,él estuvo ausente nada más ese día .,8,8
you surprised everybody .,los sorprendiste a todos .,4,5
